,DE_load_actual_entsoe_transparency
749,40322.0
750,39251.0
751,41236.0
752,44283.0
753,47866.0
754,50427.0
755,52824.0
756,52551.0
757,50776.0
758,49343.0
759,48978.0
760,49380.0
761,53440.0
762,56292.0
763,55451.0
764,53184.0
765,51911.0
766,52434.0
767,50139.0
768,47521.0
769,45816.0
770,44892.0
771,45096.0
772,46818.0
773,50595.0
774,58899.0
775,66063.0
776,68007.0
777,68587.0
778,69635.0
779,70997.0
780,70805.0
781,70077.0
782,68979.0
783,67991.0
784,66768.0
785,69377.0
786,70632.0
787,69150.0
788,65057.0
789,61842.0
790,59541.0
791,55289.0
792,52126.0
793,50039.0
794,49457.0
795,49602.0
796,50780.0
797,53250.0
798,60038.0
799,66719.0
800,68819.0
801,69261.0
802,70111.0
803,70459.0
804,70134.0
805,68910.0
806,67622.0
807,66924.0
808,66057.0
809,68891.0
810,70889.0
811,69297.0
812,65432.0
813,61812.0
814,59384.0
815,55706.0
816,52444.0
817,50321.0
818,49351.0
819,49460.0
820,50406.0
821,53350.0
822,60713.0
823,67175.0
824,68926.0
825,69575.0
826,70397.0
827,70907.0
828,70131.0
829,69435.0
830,68297.0
831,67418.0
832,66726.0
833,69271.0
834,71160.0
835,69626.0
836,65611.0
837,62408.0
838,60283.0
839,56179.0
840,52693.0
841,50594.0
842,49378.0
843,49286.0
844,50172.0
845,53276.0
846,60385.0
847,67106.0
848,68993.0
849,69081.0
850,69359.0
851,70452.0
852,70020.0
853,69759.0
854,68360.0
855,67976.0
856,67284.0
857,69481.0
858,71162.0
859,69796.0
860,65856.0
861,62586.0
862,60329.0
863,56473.0
864,52888.0
865,51001.0
866,50041.0
867,50138.0
868,50837.0
869,53603.0
870,60775.0
871,67489.0
872,69348.0
873,69768.0
874,70123.0
875,70404.0
876,69190.0
877,67425.0
878,65628.0
879,65248.0
880,64549.0
881,67310.0
882,69539.0
883,67770.0
884,63714.0
885,60562.0
886,58930.0
887,55675.0
888,52643.0
889,50874.0
890,49355.0
891,48294.0
892,47901.0
893,47264.0
894,47595.0
895,50570.0
896,53695.0
897,56728.0
898,58320.0
899,59256.0
900,58584.0
901,56620.0
902,55216.0
903,54731.0
904,54924.0
905,58279.0
906,61577.0
907,58978.0
908,55307.0
909,51932.0
910,51959.0
911,49465.0
912,46702.0
913,44616.0
914,43499.0
915,42969.0
916,42462.0
917,41602.0
918,40637.0
919,42974.0
920,46276.0
921,50121.0
922,53019.0
923,54398.0
924,53545.0
925,51588.0
926,49815.0
927,48948.0
928,49318.0
929,53045.0
930,57915.0
931,56828.0
932,54665.0
933,53423.0
934,54043.0
935,51381.0
936,48545.0
937,46620.0
938,45892.0
939,46311.0
940,47544.0
941,51090.0
942,59627.0
943,66517.0
944,69206.0
945,69923.0
946,71300.0
947,72006.0
948,71613.0
949,71101.0
950,70211.0
951,69257.0
952,68198.0
953,69703.0
954,71103.0
955,69424.0
956,65219.0
957,61809.0
958,58982.0
959,54577.0
960,50769.0
961,48681.0
962,47694.0
963,47873.0
964,49162.0
965,52517.0
966,60193.0
967,66567.0
968,68353.0
969,68612.0
970,69959.0
971,70566.0
972,70283.0
973,69765.0
974,68683.0
975,67614.0
976,66382.0
977,68158.0
978,70535.0
979,68371.0
980,64530.0
981,61033.0
982,58512.0
983,54148.0
984,50375.0
985,48200.0
986,47515.0
987,47880.0
988,49080.0
989,52002.0
990,59547.0
991,65832.0
992,68082.0
993,68656.0
994,69802.0
995,70288.0
996,69695.0
997,68707.0
998,67479.0
999,66585.0
1000,65630.0
1001,67692.0
1002,70891.0
1003,69375.0
1004,64950.0
1005,61517.0
1006,59248.0
1007,54873.0
1008,51475.0
1009,49442.0
1010,48568.0
1011,48932.0
1012,49864.0
1013,52260.0
1014,60003.0
1015,66284.0
1016,68495.0
1017,69053.0
1018,69854.0
1019,70431.0
1020,69422.0
1021,68081.0
1022,66685.0
1023,65518.0
1024,64340.0
1025,66263.0
1026,68993.0
1027,67568.0
1028,63614.0
1029,60437.0
1030,58381.0
1031,54500.0
1032,51513.0
1033,49453.0
1034,48490.0
1035,48752.0
1036,49769.0
1037,52382.0
1038,59144.0
1039,64973.0
1040,66838.0
1041,67666.0
1042,68593.0
1043,68669.0
1044,67315.0
1045,65704.0
1046,64056.0
1047,62878.0
1048,62227.0
1049,64277.0
1050,67621.0
1051,66323.0
1052,62011.0
1053,58611.0
1054,56602.0
1055,53325.0
1056,49938.0
1057,47675.0
1058,46436.0
1059,45958.0
1060,45794.0
1061,45477.0
1062,45563.0
